root_full,root_type,entry_num,root_display,semantic_axes,axes_count,poetry_evidence,body_text,chapter_header
شرف,ثلاثي,2102,شرف,العلو,1,أنحى عليها شُرَاعيًّا فغادرها … لدى المزاحِفِ تلَّى فى نضوخ دم. | يُقلِّبُ سَهماً راشَهُ بمناكبٍ … ظُهارٍ لُؤام فهو أعجفُ شارفُ (٢),"الشين والراء والفاء أصلٌ يدل على علوٍّ وارتفاع.
فالشَّرَف: * العُلُوّ. والشريف (٢)
: الرجل العالى. ورجلٌ شريفٌ من قوم أشراف، يقال إنّه جمعٌ نادر، كحبيب وأحباب، ويتيم وأيتام. ويقال للذى غَلَبه غيرُه بالشَّرَف مشروف. ويقال استشرفتُ الشّئَ، إذا رفعتَ بصرك تنظرُ إليه.
ويقال للأنوف الأشراف، الواحدُ شرف. والمَشْرَف (٣)
: المكان تُشرِف عليه وتعلوه. ومشارف الأرض: أعاليها. والمشرفيّة: منسوبة إلى مَشَارف الشام.
ويقال إنّ الشُّرْفَة: خِيار المال، واشتقاقه من الشُّرْفة التى تُشَرَّفُ بها القصور، والجمع شُرَف. والمُستشرِف من الخيل: العظيم الطَّويل. قال الخليل: سهمٌ شارف:
دقيق طويل، وأذُنٌ شَرْفاءُ: طويلةُ القُوف (٤)
. ومَنْكِبٌ أشرفٌ: عالٍ. فأمَّا النّاقة الشّارفُ فهى المُسِنّة الهَرِمة من الإبل، وهذا ممكنٌ أن يكون من العلوّ فى
أنحى عليها شُرَاعيًّا فغادرها … لدى المزاحِفِ تلَّى فى نضوخ دم.
السّنّ. وذُكِر عن الخليل أنّ السَّهْم الشارف من هذا، وهو الذى طال [عهدُهُ] بالصِّيان (١) فانتكث عَقَبُه وريشُه. قال أوس:
يُقلِّبُ سَهماً راشَهُ بمناكبٍ … ظُهارٍ لُؤام فهو أعجفُ شارفُ (٢)
ويزعمون أن شُرَيْفاً أطولُ جبَلٍ فى الأرض.
",كتاب الشينْ
شرق,ثلاثي,2103,شرق,اضاءة وفتح,1,لو بِغَير الماءِ حَلْقِى شَرِقٌ … كنتُ كالغَصَّانِ بالماء اعتصارِى (٣),"الشين والراء والقاف أصلٌ واحد يدلُّ على إضاءةٍ وفتحٍ.
من ذلك شَرَقَت الشّمسُ، إذا طلَعت. وأشرقت، إذا أضاءت. والشُّرُوق:
طُلوعها. ويقولون: لا أفعل ذلك ما ذرَّ شارقٌ، أى طَلَعَ، يُرَاد بذلك طُلُوع الشمس. وأيّام التَّشْريق سمِّيت بذلك لأنَّ لحوم الأضاحِى تُشرَّق فيها للشّمس.
وناسٌ يقولون: سمِّيت بذلك لقولهم: «أشرِقْ ثَبِير، لكيما نُغير»
. والمَشْرِقانِ:
مَشْرِقا الصَّيف والشِّتاء. والشَّرْق: المَشْرِق: وقال قوم: إنَّ اللحمَ الأحمرَ يسمَّى شَرْقاً، فإِنْ كان صحيحاً فلأنّه من حُمرته كأنه مُشْرِق.
ومن قياس هذا الباب: الشّاةُ الشّرقاء: المشقوقة الأذُن، وهو من الفَتْح الذى وصفناه.
ومما شذَّ عن هذا الباب قولهم: شَرِق بالماء، إذا غَصَّ به شَرَقاً. قال عدىّ:
لو بِغَير الماءِ حَلْقِى شَرِقٌ … كنتُ كالغَصَّانِ بالماء اعتصارِى (٣)
",كتاب الشينْ
شرك,ثلاثي,2104,شرك,يدل علي مقارنة وخلاف انفراد | يدل علي امتداد واستقامة,2,,"الشين والراء والكاف أصلانِ، أحدهما يدلُّ على مقارنَة وخِلَافِ انفراد، والآخر يدلُّ على امتدادٍ واستقامة.
فالأول الشِّرْكة، وهو أن يكون الشئُ بين اثنين لا ينفردُ به أحدهما. ويقال شاركتُ فلاناً فى الشئ، إذا صِرْتَ شريكه. وأشركْتُ فلاناً، إذا جعلتَه شريكاً لك. قال اللّه جلّ ثناؤُه فى قِصَّة موسى: ﴿وَأَشْرِكْهُ فِي أَمْرِي﴾. ويقال فى الدُّعاء:
اللهم أشرِكْنا فى دعاء المؤمنين، أى اجعلنا لهم شركاءَ فى ذلك. وشَرِكتُ الرَّجُلَ فى الأمرِ أشْرَكُه.
وأمّا الأصل الآخر فالشرَك: لَقَم الطّريق، وهو شِرَاكُه أيضاً. وشِرَاك النَّعْل مشبَّه بهذا. ومنه شَرَكُ الصّائدِ، سمِّى بذلك لامتداده.
",كتاب الشينْ
شرم,ثلاثي,2105,شرم,يدل علي خرق في الشي ومزق,1,تمنّيتُ مِنْ حُبِّى بُثينةَ أنّنا … على رَمَثٍ فى الشَّرْمِ ليس لنا وَفْرُ (٢),"الشين والراء والميم أصلٌ واحد لا يُخْلف، وهو يدلُّ على خرْقٍ فى الشئ ومَزْق. من ذلك قولُهم: تشرّم الشئ، إذا تمزّق. ومنه
الحديث:
«أَنَّهُ أُتِىَ بِمُصْحَفٍ قد تَشَرَّمتْ حواشيه»
. ومن الباب الشّرِيم، وهى المرأة المُفْضاة. والشَّرْم: قَطْعٌ من الأرنبة، وقَطْعٌ من ثَفْر النّاقة (١)
. والشَّارم: السهم الذى يَشرِمُ جانبَ الغَرَض. ويقال شَرَم له من ماله، إٍذا قطع له من ماله قطعةً قليلة. والشَّرْم يقال إٍنّه لُجَّة فى البحر. وسَمِعت مَنْ يقول إن الشَّرْمَ كالخَرْق فى جانب البحر، كالمدخَل إلى البحر. وهذا أقيَسُ من القول الأوّل. قال:
تمنّيتُ مِنْ حُبِّى بُثينةَ أنّنا … على رَمَثٍ فى الشَّرْمِ ليس لنا وَفْرُ (٢)
ويقال عُشْب شَرْمٌ، إذا شُرِم أعلاه، أى أكِل.
",كتاب الشينْ
شرى,ثلاثي,2106,شرى,تعارض من الاثنين في امرين اخذا واعطاء مماثلة,1,أسودُ شَرى لاقت أُسودَ خفِيَّةٍ … تَسَاقَوْا على حَرْدٍ دِماءَ الأَساوِدِ (١) | أَصاحِ تَرَى البرقَ لم يغتمضْ … يموتُ فُواقاً وبَشْرَى فُواقا (١),"الشين والراء والحرف المعتل أصول ثلاثة: أحدها يدلُّ على تعارضٍ من الاثنين فى أمرين أخذاً وإعطاءً مُمَاثَلةً، والآخر نبتٌ، و* الثالث هَيْجٌ فى الشئ وعلُوّ.
فالأوّل قولهم: شَرَيت الشئ واشتريتُه، إذا أخذتَه من صاحبه بثَمنه.
وربما قالوا: شريتُ: إذا بعتَ. قال اللّه تعالى: ﴿وَشَرَوْهُ بِثَمَنٍ بَخْسٍ﴾.
ومما يدلُّ على المماثلة قولهم: هذا شَرْوَى هذا، أى مِثْلُه. وفُلَانٌ شَروَى فلانٍ.
ومنه
حديث شريحٍ: فى قوسٍ كَسرَها رجلٌ لرجُل فقال شُريح: «شَرواها»
. أى مثلُها. وأشراء الشئ: نواحيه، الواحد شَرًى، وسمِّى بذلك لأنّه كالنّاحية الأخرى. والشِّرَى مقصور، يقال شَرَى الشئَ شِرًى. وأمَّا النَّبْت فالشّرْىُ، يقال إنّه الحنظل. ويقولون الشَّرْية: النَّخْلة التى تنبُت من النَّوَاة. قال رُؤبة:
وشرية فى قرية
والشَّرَى: موضعٌ كثير الدّغَل والأُسْدِ. قال:
أسودُ شَرى لاقت أُسودَ خفِيَّةٍ … تَسَاقَوْا على حَرْدٍ دِماءَ الأَساوِدِ (١)
والشِّريان من شجر القِسِىّ.
والأصل الثالث: قولهم شَرِى الرّجُل شَرًى، إذا استُطِير غَضَبا، ويقال شَرِىَ البعيرُ فى سيره شَرًى، إذا أسرع. وشَرِىَ البرقُ، إِذا استطار. قال الشاعر:
أَصاحِ تَرَى البرقَ لم يغتمضْ … يموتُ فُواقاً وبَشْرَى فُواقا (١)
ويقال استشرى الرجُل، إذا لجَّ فى الأمر. ويقال شَرِى زِمامُ النّاقة يَشْرى شَرًى، إذا كثُر اضطرابُه. ويقولون: «كلُّ مُجْرٍ فى الخَلاءِ يَشْرَى (٢)
».
",كتاب الشينْ
شرب,ثلاثي,2107,شرب,الشرب المعروف، ثم يحمل عليه ما يقاربه مجازا وتشبيها,1,فقلتُ للشَّرب فِى درنا وقد ثَمِلُوا … شِيمُوا وكيف يَشيم الشارب الثملُ,"الشين والراء والباء أصلٌ واحد منقاسٌ مطّرد، وهو الشُّرب المعروف، ثمّ يُحمل عليه ما يقاربُه مجازاً وتشبيها. تقول: شرِبت الماءَ أشرَبُه شَرْبا، وهو المصدر. والشُّرب الاسم. والشَّرب: القوم الذين يَشْرَبون. والشِّرب: الحظُّ من الماء. قال الشاعر (٣) فى الشَّرْب:
فقلتُ للشَّرب فِى درنا وقد ثَمِلُوا … شِيمُوا وكيف يَشيم الشارب الثملُ
والشَّرَبَة: ماءٌ يجمع حول النَّخلة يكون منها شُربها، والجمع شَرَبٌ.
والمَشْرَبة: الموضع الذى يَشرب منه النّاس، و
فى الحديث: «ملعونٌ مَنْ أحاط على مَشْربةٍ»
. والمَشْرَب: الوجه الذى يُشْرب منه، ويكون موضعاً ويكون مصدرا.
والشَّريب: الذى يُشَارِبُكَ. ويقال أشْرَبتَنِى ما لم أَشْرَبْ، أى ادَّعيتَ علىَّ شُربَه، وهذا مَثَلٌ، وذلك إذا ادَّعَى عليه ما لم يفعَلْه. وماء شَروبٌ وشَريبٌ، إذا صلَح أن يُشْرَبَ وفيه بعضُ الكراهة. والإشراب: لونٌ قد أُشْرِبَ من لَون، يقال:
[فيه (٤)
] شُرْبُة حُمْرةٍ. ويقال أُشْرِبَ فلانٌ حبَّ فلانٍ، إذا خالطَ قلبه. قال
اُللّه جلّ ثناؤه: ﴿وَأُشْرِبُوا فِي قُلُوبِهِمُ اَلْعِجْلَ﴾، قال المفسرون حُبَّ العِجْل.
قال الشَّيبانى: الشَّرْب الفَهْم، يقال شَربَ يَشْرُب شَرْباً، إٍذا فَهِم. ويقال اسْمَع ثم اشْرُبْ (١)
. والشاربة القوم يكونون على ضَفّة نهرٍ، ولهم ماؤُه. وشارب الإنسان معروف، ويجمع على شواربَ. والشَّوارب أيضاً: عروقٌ مُحدقةٌ بالحُلْقوم. وحمارٌ صَخِب الشَّوارب من هذا، إذا كان شديدَ النَّهيق. والشارب فى السيف (٢)
.
وأمّا اشرأبَّ فليس ببعيدٍ أن يكون من هذا القياس كأنّه كالمتهيِّئ للشُّرب، فيمدُّ عنقَه له. ثم يقاس على ذلك فيقال اشرأبّ لينظر شُرَأْبِيبَةً. وإنّما زيدت الهمزةُ فرقاً بين المعنيين. وشَرَبَّةُ: مكان.
",كتاب الشينْ
شرث,ثلاثي,2108,شرث,الشرث، وهو غلظ الاصابع والكفين,1,,"الشين والراء والثاء أصلٌ واحد، وهو الشَّرَث، وهو غِلظ الأصابع والكفّيْن.
",كتاب الشينْ
شرج,ثلاثي,2109,شرج,اختلاط ومداخلة,1,رَدَّ القِيانُ جِمَالَ الحىِّ فاحتملوا … إلى الظهيرة أمرٌ بينهمْ لَبِكُ (١),"الشين والراء والجيم أصلٌ منقاس يدُلُّ على اختلاطٍ ومُداخَلة. من ذلك الشَّرَجُ وهى العُرَى، سُمِّيت بذلك لأنّها تتداخل. ويقال شَرَجْت اللّبِنَ، إذا نضَدْته. ويقال شَرَّجْتُ الشرَاب، إذا مزجتَه. ويقال إنّ الشَّريجة القوسُ يكون عودُها لونَين. ويقال تشَرَّج الّلحمُ بالّلحم، إذا تداخَلَا. هذا هو الأصل. قولهم: أصبَح الناسُ فى هذا الأمر شَرْجَيْنِ، فيُظَنُّ أنّهم أصبحوا فِرْقَين. وهذا كذا يقال، وهو يرجع إلى المعنى الذى ذكرناه؛ لأنهم إذا اختلفوا اختلَطَ * الرّأْىُ والكلامُ وصارت مراجعاتٌ، كما قال زُهير:
رَدَّ القِيانُ جِمَالَ الحىِّ فاحتملوا … إلى الظهيرة أمرٌ بينهمْ لَبِكُ (١)
وأمّا شَرَج الوادى فمنفَسَحُه، والجمع أشراج.
",كتاب الشينْ
شرح,ثلاثي,2110,شرح,الفتح والبيان,1,,"الشين والراء والحاء أُصَيْلٌ يدلُّ على الفتح والبيان. من ذلك شرحت الكلام وغيرَه شَرْحاً، إذا بيَّنتَه. واشتقاقُه من تشريح اللحم.
",كتاب الشينْ
شرخ,ثلاثي,2111,شرخ,ريعان الشي,2,إنَّ شَرخَ الشّبابِ والشَّعَرَ الأس … ودَ ما لم يُعَاصَ كان جُنونا,"الشين والراء والخاء أصلان: أحدهما رَيْعان الشئ، وذلك يكون فى النّتاج فى غالب الأمر. والآخَر يدلُّ على تساوٍ فى شيئين متقابلين.
فالأوَّل شَرخ الشّباب: أوّلُه ورَيْعانه. وشَرخُ كلِّ سنةٍ: نِتاجها من أولاد الأنعام. وقد شَرخَ نابُ البعير، إٍذا شقَّ البَضْعة وخرج. وقال الشاعر (٢)
:
إنَّ شَرخَ الشّبابِ والشَّعَرَ الأس … ودَ ما لم يُعَاصَ كان جُنونا
والأصل الآخر: الشَّرْخان، يقال لآخِرةِ الرَّحْل وواسطتِه شَرخانِ.
وشَرْخَتَا السَّهمِ: زَنَمَتَا فُوقِه (٣)
، [وهو (٤)
] موضِعُ الوتر بينهما.
",كتاب الشينْ
شرد,ثلاثي,2112,شرد,يدل علي تنفير وابعاد، وعلي نفار وبعد، في انتشار,1,,"الشين والراء والدال أصلٌ واحدٌ، وهو يدلُّ على تنفيرٍ وإِبعاد، وعلى نِفَارٍ وبُعد، فى انتشار. وقد يقال للواحد (٥)
. من ذلك شَرَد البعير شُرودا. وشرّدْتُ الإبلَ تشريداً أُشرِّدُهَا. ومنه قوله جلّ ثنَاؤه:
﴿فَشَرِّدْ بِهِمْ مَنْ خَلْفَهُمْ﴾ يريد نكِّل بهم وسَمِّع. وهو ذلك المعنى، أنَّ المُذْنِب
إذا أذنَبَ وعوُقب عليه، فقد شُرِّد بتلك العقوبة غيرُه، لأنّه يحذرُ مثلَ ما وقع بالمذْنِبِ فَيَشْرُد عن الذَّنْب ويَنْكُلُ. واللّه أعلم.
[باب الشين والزاء وما يثلثهما]
شزغ الشين والزاء والغين ليس بشئ. ويقولون إنّ الشِّزْغ الضِّفدَع. وهذا ممّا لا معنَى له.
",كتاب الشينْ
شزن,ثلاثي,2113,شزن,امتداد في شي,1,,"الشين والزاء والنون أصلٌ واحدٌ يدلُّ على امتدادٍ فى شئ.
من ذلك قولهم للأرض الغليظة شَزَنٌ (١)
. ويقولون: تَشَزَّنَ الشَّئ، إذ امتدَّ. فأمَّا قولهم نَزَل شُزَناً من الدار، أى ناحيةً، فهو قريبٌ من الذى ذكرناه. قال ابن أحمر:
فلا يَرمين عَنْ شُزُنٍ حَزِيناَ (٢)
ويقولون إن الشَّزَنَ الإعياء من الحَفَا (٣)
، وذلك ممّا يشتدُّ على الإنسان.
",كتاب الشينْ
شزب,ثلاثي,2114,شزب,,0,,"الشين والزاء والباء ليس بأصلٍ، لأنّه من باب الإِبدال.
ويقال للشئ إذا يَبِس: شَزَب، والزاء مبدلةٌ من السين، وقد ذُكر فى موضعه.
وربّما قالوا: مكان شازِبٌ، أى جافٍ (٤) صُلب.
ألا ليت المنزل قد بلينا
وفى الأصل: «من شزن»، صوابه فى المجمل والمرجعين السالفين.
",كتاب الشينْ
شزر,ثلاثي,2115,شزر,انفتال (١) في الشي عن الطريقة المستقيمة,1,,"الشين والزاء والراء أصلٌ صحيح مُنْقاس، يدلُّ على انفتالٍ (١) فى الشئ عن الطريقة المستقيمة. من ذلك قولُهم: نظر إليه شَزْراً، إذا نظر بمُؤْخِر عينِه متبغِّضاً. والطَّعنُ الشَّزْر: الذى ليس بسَحِيج الطّريقة. والحبل المَشْزُور: المفتول مما بلى اليَسار. فأمّا أبو عبيد فقال: طَحَنَ بالرَّحَى شَزْرا، إذا ذهَبَ بيدِه عن يمينه؛ وبَتّا (٢)
؛ إذا ذهب عن شِماله.
[باب الشين والسين وما يثلثهما]
",كتاب الشينْ
شسع,ثلاثي,2116,شسع,امرين: الاول قلة والاخر بعد,1,,"الشين والسين والعين يدلُّ على أمرين: الأوَّل قلّةٌ والآخَر بُعد.
فالأوّل: قولُ العرب: له شسْعٌ من المال، أى قليل. ولعل شِسْعَ النَّعل من ذلك، لقلَّته. يقال شَسَّعْتُ النّعلَ.
والآخَر: الشاسع: البعيد. وقد شَسَعت الدّارُ. وذكر ابن دريد كلمةً إن صحَّتْ فهو من القياس. قال: يقال شَسِع [الفرس (٣)
]، إذا كان بين ثناياه انفراج.
",كتاب الشينْ
شسف,ثلاثي,2117,شسف,قحل ويبس يقال للشي القاحل شاسف، وقد شسف يشسف,1,,"الشين والسين والفاء يدلُّ على قَحَل ويُبْس يقال للشئ القاحل شاسف، وقد شَسَف يشْسِف. ولحمٌ شسيفٌ: قد كاد يَيْبَس.
",كتاب الشينْ
شسب,ثلاثي,2118,شسب,,,مستأرضاً بين بَطِن اللَّيث أيمَنُه … إلى شَمَنْصِيرَ غيَثاً مرسَلاً مَعِجا (٢),"الشين والسين والباء هو من الذى قبله. يقال شَسِبَتِ القَوس، إذا قُطِعت حتَّى يذبُل قضيبها.
[باب ما جاء من كلام العرب على أكثر من ثلاثة أحرف وأوله شين]
فأوَّلُ ذلك: (الشَّرْجَب)
، وهو الطّويل. فالراء فيه زائدةٌ، وقد قلنا إِنَّ الشُّجوب أعمِدة البُيوت، فالطويل * مشبَّه بذلك العمودِ الطويل.
ومنه (الشَّوْقَب) والواو زائدة، وقد مضى ذكره.
ومن ذلك قولهم: (شَبْرَقْتُ) اللّحمَ، إذا قطّعته، فالقاف منه زائدة، كأنّك قطّعتَه شِبراً شِبرا. وشَبْرَقْتُ الثّوبَ، إِذا مزّقتَه.
ومن ذلك (الشّفَلّحُ)
: العظيم الشّفتَين. وهذا ممّا يزيدون فيه للتقبيح والتّهويل. وإلاّ فالأصل الشّفَة، كما يقولون: الطِّرِمَّاح، وإنّما هو من طرح، وقد ذكرنا مِثْله.
ومن ذلك (الشُّمْرُج)
: الرَّقيق من الثِّياب وغيره فى قول القائل (١)
:
غَداةَ الشّمالِ الشُّمرُجُ المتنصَّحُ (٢)
فهذا مما زِيدت فيه الرّاء. وقد قلنا إنّهم يقولون: شَمَجَ الثّوبَ، إذا خاط خياطةً متباعدة. فهذا إذَا رقَّ فكأنّ سِلكَه يتباعد بعضُه عن بعض.
ويرعد إرعاد الهجين أضاعه.
ومن ذلك (الشَّرَنْبث)
: الغليظ الكفَّين. والأصل الشَّرَثُ، وهو غِلظ الأصابعِ والكَفّين، وزيدت فيه الزِّيادات للتقبيح:
ومن ذلك (الشَّماريخ)
: رءوس الجِبال، فالراء فيه زائدة، وإنّما هو من شَمَخ، إذا علَا.
ومن ذلك (الشَّناعِيف)
، الواحد شِنعاف، وهى رءوسٌ تخرُج من الجبل.
وهذا منحوتٌ من كلمتين، من شعَف ونعَف. فأمَّا الشَّعَفة فرأسُ الجبل، والنَّعْف: ما ينسدُّ بين الجبلين، وقد ذكر فى النون.
ومن ذلك (الشُّرْسُوف)
، والجمع الشَّراسِيف، وهى مَقَاطُّ الأضلاع حيث يكون الغُضروفُ الدَّقيق. فالرَّاء فى ذلك زائدة، وإنّما هو شسف، وقد مرّ.
ومن ذلك (الشِّرْذِمة)
، وهى القليل من الناس، فالذّال زائدة، وإنّما هى من شَرَمْتُ الشَّئَ، إذا مزَّقْتَه، فكأنَّها طائفةٌ انمزَقَت وانمارت عن الجماعة الكثيرة. ويقال ثوب (شَرَاذِمُ) أى قِطَعٌ.
ومن ذلك (الشَّمَيْذَر)
، وهو الخفيف السَّريع. وهذا منحوتٌ من كلمتين من شمذ وشمر، وقد مر تفسيرهما.
ومن ذلك (الشِّنذارة)
: الرَّجل المتعرِّض لأعراض النّاس بالوقيعة (١)
، والنون فيه زائدة، والأصل التشذر الوَعيد، وقد مضى، ثمَّ أُبدلت الذّالُ ظاءً فقيل (شِنْظِيرة)
، وقد (شَنْظر شَنْظَرةً)
.
ومن ذلك (الشُّبْرُمُ)
، وهو القَصير من الرجال، والميم فيه زائدة كأنّه فى قدر الشِّبْر.
ومن ذلك (الشَّمَرْدَل)
، وهو الرّجُل الخفيف فى أمره، ويقال [الفتىُّ القويُّ من الإبل (١)
]. وأىَّ ذلك كان، فهو من شَمر.
فأمَّا ما يقال، أن (الشَّناتر) الأصابعُ بلغة اليمانييِّن فلعل قياسَهم غيرُ قياس سائر العرب، ولا معنى للشُّغْل بذلك.
ومما وُضِع وضعاً (شَمَنصير)
، وهو موضع، قال:
مستأرضاً بين بَطِن اللَّيث أيمَنُه … إلى شَمَنْصِيرَ غيَثاً مرسَلاً مَعِجا (٢)
واللّه أعلم بصحّتها.
تم كتاب الشين
[باب الصاد وما معها فى الذى يقال فى المضاعف والمطابق]
",كتاب الشينْ
صعع,مضاعف,2119,صع,تفرق وحركة,1,فظَلَّ طُهَاةُ اللَّحمِ مِنْ بين مُنضجٍ … صَفِيفَ شِواءٍ أو قديرٍ مُعَجَّلِ (١),"الصاد والعين أصلٌ صحيح يدلُّ على تفرُّق وحرَكة. يقال تصعصع القومُ، إذا تفرَّقوا. قال الخليل: يقال ذهبت الإبل صَعاصِعَ، أى فِرَقاً. ويقولون: صَعْصَعْتُ الشّئ فَتَصَعْصَع، وذلك إذا حرّكتَه فتحرّك.
الصاء والفاء يدلُّ على أصلٍ واحد، وهو استواءٌ فى الشئ وتساوٍ بين شَيئين فى المَقَرّ. من ذلك الصَّفُّ، يقال وقفَا صفًّا، إِذا وقَفَ كلُّ واحدٍ إلى جنْب صاحبه. واصطفَّ القومُ وتصافُّوا. والأصل فى ذلك الصَّفْصَف، وهو المستوِى من الأرض، فيقال للمَوقِف فى الحرب إذا اصطفَّ القومُ: مَصَفٌّ، والجمع المصافّ. والصَّفوف: النّاقة التى تَصُفُّ، أى تجمع بين مِحْلَبَين فى حَلْبة.
والصَّفُوف أيضاً: التى تصفُّ يدَيْها عند الحَلَب.
وممّا شذَّ عن الباب، وقد يمكن أن يُتطَلَّب له فى القياس وجهٌ، غيرَ أنَّا نكره القياسَ المتمَحَّل المستَكْرَه، وهذا الذى ذكرناه، فهو الصفيف، قال * قومٌ: هو القَديد وقال آخرون: هو اللَّحم يُحمَل فى الأسفار طبيخاً أو شِواءً فلا يُنْضَج. قال:
فظَلَّ طُهَاةُ اللَّحمِ مِنْ بين مُنضجٍ … صَفِيفَ شِواءٍ أو قديرٍ مُعَجَّلِ (١)
",كتاب الصَّاد
صكك,مضاعف,2120,صك,تلاقي شييين بقوة وشدة,1,,"الصاد والكاف أصلٌ يدلُّ على تلاقِى شيئينِ بقوَّة وشِدّة، حتَّى كأنّ أحدَهما يضرِب الآخر. من ذلك قولهم: صَكَكْتُ الشئَ صكاًّ.
والصَّكَك: أن تَصطَكَّ رُكبتا [الرّجُل (٢)
]. [وصَكَّ البابَ (٣)
]: أغلقه بعنفٍ وشِدَّة. ويقال بعير مُصَكَّكٌ (٤)
، إذا كان اللَّحمُ قد صُك فيه صَكاًّ.
ورجلٌ مِصكٌّ: شديد. ويقال ذلك فى الخَيل والحُمُر وغيرِها.
وأمَّا قولُهم: «جئتُه صَكَّةَ عُمَىٍّ (٥)
» فإنَّما يُراد أنَّ الأعمَى يلقى مثلَه فيصطكاّنِ، أى يصكُّ كلُّ واحدٍ منهما صاحبَه. وذلك كلامٌ وضَعوه فى الهاجرة وعند اشتداد الحرِّ خاصَّة.
",كتاب الصَّاد
صلل,مضاعف,2121,صل,يدل علي ندي وماء قليل | علي صوت,2,ذاك فتًى يبذُلُ ذا قِدْرِهِ … لا يُفسِدُ اللَّحمَ لديه الصُّلولْ (٢),"الصاد واللام أصلان: أحدهما يدلُّ على ندًى وماءٍ قليل، والآخر على صوت.
فأمَّا الأول فالصَّلّة، وهى الأرضُ تسمَّى الثَّرَى لِنداها. على أنَّ
من العرب من يسمِّى الصَّلّة التُّرابَ الندِىّ. ولذلك تُسمَّى بقيَّةُ الماء فى الغدير صُلْصُلة.
ومن الباب: صِلال المَطَر: ما وقع منه شئٌ بعد شئ. ويقال للعُشْب المتفرِّق صِلالٌ، لأنّه يسمَّى باسم المطرِ المتفرِّق. قال:
كَجنْدَلِ لُبْنَ تَطَّرِدُ الصِّلالا (١)
ومن الباب صَلّ اللحمُ، إذا تغيَّرَتْ رائحتُه وهو شواءٌ أو طبيخ. وإنّما هو من الصَّلّة، كأنَّه دُفِن فى الصَّلّة فتغيَّر. ومصدر ذلك الصُّلول. قال:
ذاك فتًى يبذُلُ ذا قِدْرِهِ … لا يُفسِدُ اللَّحمَ لديه الصُّلولْ (٢)
وأمّا الصَّوت فيقال صَلّ اللِّجام وغيرُه، إذا صَوَّت. فإذا كثُر ذلك منه، قيل صَلْصَل. وسمِّى الخَزَفُ صَلْصالاً لذلك، لأنّه يصوّت ويصلصِل.
وممَّا شذَّ من هذين البابين الصِّلّ: الدَّاهية؛ والجمع أصلال. ويقال صَلَّتْهم الصَّالَّة، إذا دَهَتْهم الدّاهية.
",كتاب الصَّاد
صمم,مضاعف,2122,صم,تضام الشي وزوال الخرق والسم,1,أصَمَّ دُعاءُ عاذِلَتى تَحَجَّى … بآخِرِنا وتَنْسَى أوَّليناَ (١) | بُدِّلتُ مِنْ وائلٍ وكِندةَ عَدوا … نَ وفَهْماً صَمِّى ابنةَ الجبَلِ (٢),"الصاد والميم أصلٌ يدل على تضامِّ الشَّئِ وزوالِ الخرْق والسَّمّ.
من ذلك الصَّمَم فى الأُذن. يقال صَمِمْت، وأنت تَصَمُّ صَمَما. وربَّما قالوا صُمَّ بمعنى صَمّ. ويقال: أصممتُ الرّجُلَ، إذا وجدته أصمَّ. قال ابنُ أحمر:
سيكفيك الإله بمسنمات.
أصَمَّ دُعاءُ عاذِلَتى تَحَجَّى … بآخِرِنا وتَنْسَى أوَّليناَ (١)
والصّمّاء: الدَّاهية، كأنَّه من الصَّمَم، أى هو أمرٌ لا فُرجةَ له فيه. ومن ذلك اشتمالُ الصَّمّاء: أنْ تلتحفَ بثوبك ثم تُلقىَ الجانبَ الأيسر على الأيمن.
والعرب تقول فى تعظيم الأمر: «صَمِّى صَمَامِ»
. والأصل فى ذلك قولهم: «صَمّت حصاةٌ بدَمٍ»
، وذلك أنّ الدِّماء تكثُر فى الأرض عند الوغَى، حتَّى لو أُلْقِيَتْ حصاةٌ لم يُسمَع لها وَقْع، وهو فى قول امرئ القيس:
بُدِّلتُ مِنْ وائلٍ وكِندةَ عَدوا … نَ وفَهْماً صَمِّى ابنةَ الجبَلِ (٢)
يريد تعظيمَ ما وقع فيه وأُدِّىَ إليه. وصِمام القارورة سمِّى بذلك لأنّه يسُدُّ الفُرْجة. وقولهم: صَمَّم فى الأمر، إذا مضى فيه راكباً رأسَه، فهو من القياس الذى ذكرناه، كأنَّه لما أراد ذلك لم يسمع عَذْلَ عاذلٍ ولا نَهْىَ ناهٍ، فكأنّه أصمُّ.
واشتُقَّ منه السَّيف الصَّمصام والصَّمصامة. ومنه صَمَّم، إذا عَضّ فى الشئ فأثبت أسنانه فيه. والصَّمَّانُ: أرضٌ. وقال بعضهم: كلُّ أرضٍ إلى جنبِ رَمْلة فهى صَمَّانةٌ. وهذا صحيح؛ لأنَّ الرّمل فيه خَلَل، والصَّمَّانةُ ليست كذلك.
ومن الباب: الصِّمْصِم (٣)
: الرّجُل الغليظ، وسمِّى بذلك لما ذكرناه، كأنَّه ليست فى لحمه فُرجة ولا خَرْق. وكذلك الأسد صِمَّةٌ، كأنّه لا وصول إليه من وجه.
ومن الباب الصِّمصِمة: الجماعة، سمِّيت بذلك، كأَنَّها اجتمعت حتَّى لا خلل فيها ولا خَرْق.
",كتاب الصَّاد
